judul,translated_text
"Polisi Tangkap 4 Penambang Ilegal di Bungo, 3 Kg Emas Disita","police arrest 4 illegal miners in bungo, 3 kg of gold confiscated"
"2 Pelaku Tambang Batu Bara Ilegal di Kukar Ditangkap, 2 Ekskavator Disita","2 illegal coal mining actors in kukar arrested, 2 excavators confiscated"
Polisi Selidiki Tambang Longsor Renggut Nyawa Bocah di Manggarai Timur,mine landslide investigation policy ending child's life in east manggarai
Polisi Tutup Tambang Emas Ilegal di Kawasan Gunung Sanggabuana Bogor,"police close illegal gold mine in the mount sanggabuana area, bogor"
"Respons Aduan Warga, Ganjar Tindak Galian C Ilegal di Lereng Sindoro","responding to residents' complaints, reward for illegal excavation c on sindoro slope"
Nusra Sepekan: Jokowi Resmikan Jalan Golo Mori-Pembakaran Atribut Perindo,nusra sepekan: jokowi inaugurates jalan golo mori-burning of perindo attributes
Polresta Tangerang Tangkap Pelaku Tambang Ilegal,tangerang police arrest illegal mining perpetrators
Sekda NTB Sempat Meminta Tambang Pasir Besi Ditutup,the ntb regional secretary once asked the iron sand mine to be closed
Penambangan PT MAP Pencemar Air Limbah Oli di Labuan Bajo Diduga Liar,pt map mining oil wastewater pollutant in labuan bajo allegedly illegal
PBB Capai Kesepakatan Bersejarah untuk Lindungi Laut Lepas,un reaches historic agreement to protect the high seas
Bertaruh Nyawa Demi Kepingan Emas di Tambang Ilegal Sukabumi,betting your life for gold coins in the illegal sukabumi mine
Polda Jateng Minta Warga Laporkan Kasus Tambang Ilegal: Jangan Dibatin,central java regional police ask residents to report illegal mining cases: don't think about it
4 Operator Alat Berat Jadi Tersangka Tambang Ilegal Merapi Magelang,"4 heavy equipment operators become suspects in illegal mining of merapi, magelang"
"Gerebek Tambang Ilegal Magelang, 5 Alat Berat Disita-11 Orang Diperiksa","raid on illegal mining in magelang, 5 heavy equipment confiscated - 11 people examined"
Tambang Timah Ilegal Bikin Apple Urung Bikin Pabrik di RI,illegal tin mining makes apple unable to build a factory in ri
"Polisi Gerebek Tambang Ilegal di Magelang, 5 Orang Diamankan","police raid illegal mining in magelang, 5 people arrested"
"Pemilik Galian C Ilegal di Aceh Besar Ditangkap, Alat Berat Disita","owner of illegal excavation c in aceh besar arrested, heavy equipment confiscated"
Alasan di Balik Mundurnya Rencana Apple Bikin Pabrik di RI,the reason behind apple's plan to build a factory in ri
"Gerebek Tambang Ilegal di Merapi Klaten, Bareskrim Polri Sita 1 Backhoe","raid illegal mining in merapi klaten, bareskrim polri seizes 1 backhoe"
"Terkuak! Apple Sempat Minat Bangun Pabrik di RI, Tapi Mundur Gegara Ini","revealed! apple was interested in building a factory in ri, but withdrew because of this"
Mengapa Pendapatan Berlian Afrika Tak Dinikmati Rakyat Banyak?,why african diamond income not enjoyed by many people?
Pengadilan Tinggi Jatim Perberat Hukuman Bos Tambang Ilegal di Pasuruan,east java high court increases sentence of illegal mining boss in pasuruan
Pengelola Gunung Halimun Akui Pertambangan Ilegal Sudah Ada Sejak Lama,mount halimun management admits illegal mining has been there for a long time
"2 Pelaku Tambang Batu Bara Ilegal di Berau Ditangkap, Alat Berat Disita","2 illegal coal mining actors in berau arrested, heavy equipment confiscated"
Tersangka Penambang Emas Ilegal di Lebak Gunakan Merkuri,suspected illegal gold miner in lebak uses mercury
Polda Banten Tangkap 6 Penambang Emas Ilegal di Lebak,banten police arrest 6 illegal gold miners in lebak
"14 Penambang Timah Ilegal di Kepri Ditangkap, 5 Jadi Tersangka","14 illegal tin miners in riau islands arrested, 5 become suspects"
Gakkum KLHK Setop Tambang Emas Ilegal di Kawasan Hutan Gorontalo,gakkum klhk stop illegal gold mining in gorontalo forest area
"Kritik UU Ciptaker soal Izin Tambang, DPD: Layak Bagi Hasil di Daerah Kecil","criticizing the ciptaker law regarding mining permits, dpd: appropriate for profit sharing in small areas"
MAKI Usul Ada Tim Kepresidenan Bantu Usut Kasus Tambang Ilegal,maki suggests a presidential team to help investigate illegal mining cases
2 Pengelola Tambang Ilegal di Pati-Blora Ditangkap!,2 illegal mining managers in pati-blora arrested!
Klarifikasi Roy Marten Diduga Terlibat Perusahaan Tambang Bermasalah,clarification: roy marten allegedly involved in troubled mining company
"4 Tambang Ilegal di Cluwak Pati Ditutup, Ini Daftarnya","4 illegal mines in cluwak pati closed, here's the list"
1 Orang Warga di Cilacap Jadi Tersangka Terkait Tambang Ilegal,1 resident in cilacap becomes suspect in connection with illegal mining
"Ada 188 Tambang Ilegal di Jateng, Pemprov Bentuk Tim Terpadu","there are 188 illegal mines in central java, provincial government forms an integrated team"
"Pemprov Jateng: Ada 188 Tambang Ilegal, Terbanyak di Merapi","central java provincial government: there are 188 illegal mines, most in merapi"
Ular Unik Bermata Oranye Diberi Nama Leonardo DiCaprio,unique orange-eyed snake named leonardo dicaprio
Polda Jateng Klaim Sudah Tutup Tambang Pasir Ilegal di Lereng Merapi,central java regional police claims to have closed illegal sand mines on the slopes of merapi
"Gerebek Tambang Emas Ilegal di Merangin, 5 Pekerja Ditangkap","raid on illegal gold mine in merangin, 5 workers arrested"
7 WNA Ditangkap di Lokasi Tambang Emas Ilegal di Aceh Masih Berstatus Saksi,7 foreigners arrested at illegal gold mining location in aceh still have witness status
Polisi Tangkap 7 WNA Diduga Lakukan Penambangan Ilegal di Aceh,police arrest 7 foreigners suspected of carrying out illegal mining in aceh
Dinas ESDM Jateng Panggil Penambang Ilegal Lereng Merapi Magelang,"central java esdm service summons illegal miners on merapi slopes, magelang"
Berkas Kasus Ismail Bolong Kembali ke Tangan Jaksa,ismail bolong case files return to prosecutor's hands
Polri Limpahkan Lagi Berkas Perkara Ismail Bolong ke Kejagung Besok,the national police hands over ismail bolong's case files again to the attorney general's office tomorrow
"Polri Selamatkan Aset Negara Rp 1,5 T dari Kasus Korupsi Selama 2022",polri saves state assets idr 1.5 t from corruption cases during 2022
Gubsu Edy: Stunting di Madina Diduga Kuat Dipicu Pencemaran Tambang Ilegal,governor edy: stunting in madina is strongly suspected of being triggered by illegal mining pollution
Gubsu Edy: Pencemaran Bahan Kimia Sebabkan Anak Stunting di Madina,governor edy: chemical pollution causes stunting of children in madina
"Ada Kode 'Langit Tujuh' dari Beking Ngeri Tambang Ilegal, Apa Maksudnya?","there is a 'seventh heaven' code from beking horrified of illegal mining, what does it mean?"
Kejagung: Berkas Ismail Bolong Terkait Kasus Tambang Ilegal Belum Lengkap,attorney general's office: ismail's dossier regarding illegal mining case is not complete
"Terdakwa Tambang Ilegal Pasuruan Divonis 1 Tahun 6 Bulan Bui, Jaksa Banding","pasuruan illegal mining defendant sentenced to 1 year 6 months in prison, appeals prosecutor"
Bareskrim Limpahkan Berkas Perkara Tambang Ilegal Ismail Bolong ke Kejagung,bareskrim submits ismail bolong illegal mining case files to the attorney general's office
Buka-bukaan Gibran Sebut Ada Beking Ngeri Tambang Ilegal Klaten,gibran's revelations mention that there is a terrible fear of klaten's illegal mining
Polri Segera Limpahkan Kasus Tambang Ilegal Ismail Bolong,polri immediately hands over ismail bolong illegal mining case
"Usut Suap Ismail Bolong, Polri Bakal Kerja Sama dengan KPK dan PPATK","investigating ismail bolong's bribery, the national police will collaborate with the kpk and ppatk"
"Polisi Tangkap 14 Pelaku Tambang Ilegal di Kaltim, 2 Orang Tersangka","police arrest 14 illegal mining actors in east kalimantan, 2 suspects"
Terdakwa Kasus Tambang Ilegal di Pasuruan Berkukuh Tak Bersalah,the defendant in the illegal mining case in pasuruan insists he is innocent
Pria di Minahasa Utara Olah Emas Tanpa Izin Ditangkap,man in north minahasa processing gold without permit arrested
Kompolnas Sarankan Polri Libatkan PPATK Usut Kasus Suap Ismail Bolong,kompolnas suggests that the national police involve ppatk in investigating the ismail bolong bribery case
"Polisi Razia Tambang Emas Ilegal di Merangin, 2 Pelaku Ditangkap","police raid illegal gold mining in merangin, 2 perpetrators arrested"
"Pengacara: Ismail Bolong Ditahan di Kasus Tambang, Tak Ada Suap ke Pati Polri","lawyer: ismail bolong detained in mining case, no bribery to pati polri"
4 Fakta Terkini Ismail Bolong Terancam 5 Tahun Bui,4 latest facts ismail bolong threatened with 5 years of imprisonment
Penampakan Ismail Bolong Berbaju Tahanan Usai Jadi Tersangka Tambang Ilegal,appearance of ismail bolong in prison clothes after becoming a suspect in illegal mining
Bareskrim Sita Tumpukan Batu Bara hingga 36 Truk di Kasus Ismail Bolong,bareskrim confiscates stacks of coal up to 36 trucks in the ismail bolong case
"Jadi Tersangka, Ini Peran Ismail Bolong di Kasus Tambang Ilegal","becoming a suspect, this ismail bolong's role in the illegal mining case"
2 Rekan Ismail Bolong Juga Ditetapkan Jadi Tersangka Kasus Tambang Ilegal,2 of ismail bolong's colleagues were also named as suspects in the illegal mining case
"Jadi Tersangka Tambang Ilegal, Ismail Bolong Terancam 5 Tahun Bui","as a suspect in illegal mining, ismail bolong faces 5 years in prison"
Terungkap Ismail Bolong Kini Tersangka Kasus Tambang Bukan Suap,"it is revealed that ismail bolong is now a suspect in the mining case, not bribery"
"Polisi Naikkan Status Tambang Ilegal di Madina, 4 Orang Jadi Tersangka","police raise status of illegal mining in madina, 4 people become suspects"
Ismail Bolong Ditahan Usai Jadi Tersangka di Kasus Tambang Ilegal Kaltim,ismail bolong detained after becoming a suspect in the east kalimantan illegal mining case
Pengacara: Ismail Bolong Dijerat Pasal Penambangan Ilegal,lawyer: ismail bolong charged with illegal mining
"Disidak Satpol PP, Pekerja Tambang Ilegal di Batang Lari Kocar-kacir","busted by satpol pp, illegal mining workers in batang run away"
Beking Ngeri Tambang Ilegal di Klaten,horrifying illegal fares in klaten
"Marak Tambang Ilegal Punya Beking Ngeri, Menteri ESDM Mau Bentuk Ditjen Baru","rampant illegal mining has horrified backing, minister of energy and mineral resources wants to form a new directorate general"
"Gegara Marak Tambang Ilegal, Kementerian ESDM Mau Bikin Ditjen Baru","due to the rise of illegal mining, the ministry of energy and mineral resources wants to create a new directorate general"
Kapolres Madina-Dandim Tepis Viral TNI Jemput Paksa Mafia Tambang dari Polres,madina police chief-dandim denies viral tni takes down mining mafia from police
Kapolres Madina-Dandim Tapsel Tepis Jemput Paksa Mafia Tambang,chief of police madina-dandim tapsel tepis forcefully invites mining mafia
Terdakwa Tambang Ilegal Pasuruan Dituntut 5 Tahun Penjara-Denda Rp 75 M,pasuruan illegal mining defendant sentenced to 5 years in prison - fine of idr 75 billion
Walhi Jateng: Masalah Tambang Pasir Tak Sekadar Perizinan,walhi central java: the problem of sand mining is not just licensing
Massa Emak-emak Tutup Paksa Tambang Ilegal di Sungai Batang Jateng,"mass of mothers forced to close illegal mines in the batang river, central java"
"Massa Tutup Paksa Tambang Ilegal di Sungai Batang, Mayoritas Emak-emak","masses forced to close illegal mining in batang river, mostly mothers"
Polisi-Dinas ESDM Jateng Cek Tambang Ilegal di Klaten: 2 Titik Berizin,central java esdm police check illegal mining in klaten: 2 licensed points
"Tambang Ilegal Marak di Jateng, Lalu Berapa Jumlah yang Berizin?","illegal mining is rampant in central java, so how many are licensed?"
Aktivitas Tambang Ilegal Klaten Tiarap Usai Gibran-Ganjar Soroti Beking,klaten illegal mining activity goes down after gibran-ganjar highlights beking
"Gibran-Ganjar Soroti Beking Tambang Ilegal Klaten, Kini Penambang Tiarap Total","gibran-ganjar highlights klaten illegal mining backing, now miners are totally down"
"Di-Spill Gibran, Isu Tambang Ilegal Klaten Makin Jadi Sorotan","in gibran's spill, klaten's illegal fare issue is increasingly in the spotlight"
"Ganjar Unggah Momen Rakor soal Tambang Ilegal, Gibran: Waduh Gara-gara Saya","ganjar uploads coordination moment about illegal mining, gibran: wow, it's because of me"
"Heboh Tambang Ilegal, Menteri ESDM Kirim Tim Inspektur ke Klaten","illegal mining excitement, minister of energy and mineral resources sends inspector team to klaten"
Satpol PP Batang Sambat Galian C Ilegal Ditutup tapi Selalu Muncul Lagi,batang sambat satpol pp illegal excavation c closed but always appears again
DPRD Klaten soal Geger Tambang Ilegal: UU Minerba-Perda RTRW Tak Sejalan,klaten dprd regarding illegal mining concussion: minerba law and rtrw regional regulations are not compatible
Polda Jateng Klaim Tak ada Anggota Polri Jadi Beking Tambang Pasir,central java regional police claims there are no police members becoming supporters of sand mines
Ini Dampak Ngeri di Balik Tambang Ilegal yang Mau Digrebek Ganjar,this is the horrifying impact behind the illegal mine that ganjar wants to raid
Tambang Ilegal yang Disebut Gibran Bekingnya Ngeri Tak Beroperasi,the illegal mine called gibran beking is horrified not operating
Beragam Respons Pejabat soal Tambang Pasir Bekingan Ngeri di Klaten,various official responses to the horrifying bekingan sand mine in klaten
"Heboh Beking Tambang Ilegal Klaten, Komisi VII DPR Soroti Penegakan Hukum","excited about klaten illegal mining backing, commission vii dpr highlights law enforcement"
Ganjar Sebut Beking Tambang Ilegal Klaten Gede-gede: Puser Bumi Tak Efektif,ganjar says illegal mines in klaten gede-gede: navel of the earth is ineffective
"Tambang Ilegal Klaten Disebut Ada Beking, Ini Hasil Pengecekan Polisi","illegal klaten mines are said to have backings, these are the results of police checks"
"Disebut Ada Beking Ngeri-Gede, Segini Jumlah Tambang Ilegal di Klaten","it is said that there is a terrible baking, this is the amount of illegal mining in klaten"
Siapa Beking Ngeri dan Gede-gede di Balik Tambang Ilegal Klaten?,who are the big guys behind the illegal mines in klaten?
"Tak Hanya ke Gibran, Bupati Klaten Sambat Tambang Ilegal ke KPK-Jokowi","not only to gibran, the regent of klaten sambat illegal mining to kpk-jokowi"
"Gibran Ungkap Beking Ngeri Tambang Ilegal Klaten, Polres Usut 6 Kasus Setahun","gibran says beking is horrified about klaten illegal mining, police investigate 6 cases a year"
"Ungkap Beking Ngeri di Tambang Ilegal Klaten, Gibran: Aku Wis Ngerti Wonge","beking ngeri in klaten's illegal mine revealed, gibran: i already know the man"
"Gibran Bilang Ada Beking Ngeri di Tambang Ilegal Klaten, Kapolres: Kita Cek","gibran says there is terrible baking at illegal mines in klaten, chief of police: we check"
"Warga Keluhkan Tambang Ilegal di Klaten, Gibran: Bekingannya Ngeri","residents complain about illegal mining in klaten, gibran: the backing is horrible"
Gibran Sebut Tambang Ilegal di Klaten Punya Beking yang Ngeri,gibran says illegal mining in klaten has horrible backings
Gibran Respons Keluhan Soal Tambang Pasir Ilegal Klaten: Bekingannya Ngeri,gibran responds to complaints about klaten illegal sand mining: the backing is horrible
Kapolres Batang Ungkap Rencana Legalkan Tambang Galian C Liar: Demi KIT,batang police chief reveals plans to legalize illegal excavated c mines: for the sake of kit
Komisi III DPR Bakal Tanya Polri soal Pengakuan Sambo di Kasus Tambang,commission iii of the dpr will ask the police about sambo's confession in the mining case
Ferdy Sambo Akui Pernah Usut Keterlibatan Polisi di Tambang Ilegal Kaltim,ferdy sambo admits that he once investigated police involvement in illegal mining in east kalimantan
2 Penambang Emas Ilegal di Aceh Barat Ditangkap,2 illegal gold miners in west aceh arrested
Waduh! Tambang Galian C Ilegal Marak di Kabupaten Batang,wow! illegal excavated c mining is rampant in batang regency
"Sumur Minyak Ilegal Meledak Cemari Sungai, Pemkab Muba Ngadu ke KLHK","illegal oil well explodes, pollutes river, muba ngadu regency government goes to klhk"
Nyanyian Ismail Bolong saat Diperiksa Anak Buah Sambo soal Tambang Ilegal,ismail bolong's singing during the examination of sambo's children regarding illegal mining
Tentang Geng Sumut yang Konon Bikin Penyidik Mentok Usut Ismail Bolong,about the north sumatra gang which is said to have made investigators stop investigating ismail bolong
Ferdy Sambo Laporkan Pejabat Polri Penerima Dana Tambang ke Kapolri,ferdy sambo reports police officials receiving mining funds to the national police chief
Tragis 3 Penambang Emas Ilegal di Kapuas Terkubur Hidup-hidup Saat Longsor,"tragically, 3 illegal gold miners in kapuas were buried alive in a landslide"
"Tambang Emas Ilegal di Kapuas Kalteng Longsor, 3 Orang Tewas Tertimbun","illegal gold mine in kapuas, central kalimantan landslides, 3 people die in a burden"
Ferdy Sambo Temukan Aliran Dana ke Pejabat Polri di Kasus Ismail Bolong,ferdy sambo discovers the flow of funds to police officials in the ismail bolong case
Warga Pakuniran Probolinggo Keluhkan Tambang Sirtu yang Rusak Lingkungan,residents of pakuniran probolinggo complain that the sirtu mine is damaging the environment
"Longsor Tambang Ilegal di Kalsel Tewaskan 9 Orang, 3 Pemodal Tersangka","illegal mining landslide in south kalimantan kills 9 people, 3 suspect financiers"
Polisi Tangkap 12 Penambang Emas Ilegal di Aceh,police arrest 12 illegal gold miners in aceh
Pengacara Hendra Kurniawan: Ismail Bolong Berbohong!,lawyer hendra kurniawan: ismail is lying!
Ferdy Sambo Angkat Bicara soal Geger Ismail Bolong Terkait Tambang Ilegal,ferdy sambo speaks up about ismail bolong's uproar regarding illegal mining
Polisi Ingatkan Penambang di Awimbon Rawan Diserang KKB: Nyawa Taruhannya!,police remind miners in awimbon vulnerable to attack by kkb: their lives are at risk!
IPW Minta Testimoni Ismail Bolong soal Kabareskrim Diusut: Biar Tak Fitnah,ipw asks that ismail bolong's testimony regarding kabareskrim be investigated: so that it is not slanderous
MAKI Minta Mahfud Laporkan Kasus Mafia Tambang di Kaltim-Kalsel ke Jokowi,maki asks mahfud to report the mining mafia case in east kalimantan and south kalimantan to jokowi
Legislator Minta Kasus Ismail Bolong Tidak Disepelekan,legislators ask that ismail bolong's case not be ignored
KKB Papua Pimpinan Bocor Sobolim Juga Pernah Bantai Penjaga Kios Hingga Tewas,papuan kkb leader leak sobolim also slaughtered a kiosk guard to death
Legislator PD Minta Kapolri Usut Heboh Testimoni Ismail Bolong,pd legislator asks national police chief to investigate ismail bolong's exciting testimonial
Kasus Ismail Bolong Dilaporkan ke Propam Polri,ismail bolong's case was reported to propam polri
KKB Penyerang Pekerja Tambang di Awimbon Papua Dipimpin Bocor Sobolim,kkb attacks mining workers in awinbon papua led by leaking sobolim
"Isu Perang Bintang di Heboh Ismail Bolong, Sahroni Usul Polri Bentuk Timsus","the issue of star wars in ismail bolong is excited, sahroni suggests that the national police form a special team"
"Geger Testimoni Ismail Bolong, Abraham Samad Ungkap Banyaknya Masalah Tambang","upset by ismail bolong's testimony, abraham samad reveals many mining problems"
Pengacara Heran Hendra Kurniawan Tak Berdaya tapi Dibawa-bawa Ismail Bolong,surprised lawyer hendra kurniawan was helpless but was carried away by ismail bolong
Siapa Ismail Bolong yang Cabut Pernyataan Setor Miliaran ke Kabareskrim?,who is ismail bolong who withdrew his statement about depositing billions to kabareskrim?
Geger Pengakuan Ismail Bolong Bikin Isu Perang Bintang di Polri Menyeruak,the commotion of ismail bolong's confession makes the issue of star wars within the national police emerge
"Mahfud Md soal Ismail Bolong: Perang Bintang Menyeruak, Saling Buka Kartu Truf","mahfud md about ismail bolong: star wars break out, open each other's trump cards"
Siapa Ismail Bolong Penyebar hingga Ralat Isu Setoran Miliaran Kabareskrim?,who is ismail bolong who spread the problem of rectifying the issue of billions in deposits for the criminal investigation department?
Geger Ismail Bolong Ngaku hingga Ralat Isu Setor Miliaran ke Kabareskrim,ismail bolong's commotion admits that he rectified the issue of depositing billions with the criminal investigation department
"Hendra Kurniawan Disebut Tekan Ismail Bolong, Pengacara Bilang Begini","hendra kurniawan called press ismail bolong, lawyer says this"
"Sosok Ismail Bolong, Ternyata Mantan Anggota Polresta Samarinda",the figure of ismail bolong turns out to be a former member of the samarinda police
"Soal Manuver Ismail Bolong, Mahfud Singgung Isu Perang Bintang","regarding ismail bolong's maneuver, mahfud touched on the issue of star wars"
Ismail Bolong Ngaku Ditekan Brigjen Hendra soal Setor Uang ke Kabareskrim,ismail bolong admits he was pressured by brigadier general hendra about depositing money with the criminal investigation department
"Ismail Bolong Cabut Testimoni Setor Uang ke Kabareskrim, Ini Penjelasannya","ismail bolong withdraws testimonial of depositing money to kabareskrim, here's the explanation"
MAKI Laporkan Kejati Sulteng ke Kejagung soal Penyimpangan LO Tambang Nikel,maki reported kejati sulteng to kejagung regarding the deviation of the nickel mine lo
Polisi Tangkap 4 Penambang Ilegal di Solok Selatan yang Disorot Andre Rosiade,police arrest 4 illegal miners in south solok highlighted by andre rosiade
"22 Orang Ditangkap Terkait Tambang Ilegal di Jateng, Rugikan Negara Rp 7,2 M","22 people arrested in connection with illegal mining in central java, costing the state idr 7.2 billion"
Polda Sumbar Tangkap 6 Penambang Emas Ilegal yang Disorot Andre Rosiade,west sumatra police arrest 6 illegal gold miners highlighted by andre rosiade
"Truk Dilarang Beroperasi gegara Bikin Macet, Sopir di Jambi Merugi","trucks are prohibited from operating because they cause traffic jams, drivers in jambi suffer losses"
Polda Sultra Tetapkan Direktur PT DMS 77 Jadi Tersangka Penambangan Ilegal,southeast sulawesi regional police names the director of pt dms 77 as a suspect in illegal mining
Polisi Tangkap 2 Orang terkait Tambang Ilegal yang Disorot Andre Rosiade,police arrest 2 people in connection with illegal mining highlighted by andre rosiade
Masyarakat Peduli Kendeng Istigasah agar Tambang-Pabrik Semen Disetop,kendeng concerned community istigasah to stop cement mines
"Soal Penambang Galian C Ilegal, Kapolda Jateng: Tindak Tegas!","concerning illegal excavation c miners, central java regional police chief: firm action!"
Andre Rosiade Minta Polda Sumbar Cek Tambang Pasir Pantai di Pasie Jambak,andre rosiade asks the sumbar police to check beach sand mining in pasie jambak
MAKI: Klaim Kekayaan Lukas Enembe dari Tambang Emas Hoax,maki: lukas enembe's claim of wealth from hoax gold mine
MAKI Sebut KPK Lembek Hadapi Lukas Enembe,maki calls the kpk soft in facing lukas enembe
Tersangka-Barang Bukti Tambang Ilegal di Pasuruan Diserahkan ke Kejaksaan,suspects evidence of illegal mining in pasuruan handed over to prosecutor's office
Panas! Antam vs DPR Debat Soal Tambang 'Terlarang' di Konawe Sultra,"hot! antam vs dpr debate on 'forbidden' mining in konawe, sultra"
Afrika Desak Kerajaan Inggris Kembalikan Berlian di Mahkota Ratu Elizabeth II,africa urges the british empire to return the diamonds in queen elizabeth ii's crown
Afrika Minta Kerajaan Inggris Kembalikan Berlian di Mahkota Ratu Elizabeth II,africa asks the british empire to return the diamonds in queen elizabeth ii's crown
Tragedi Tambang Emas Ilegal di Bengkayang Kalbar Tewaskan 7 Orang,"illegal gold mining tragedy in bengkayang, west kalimantan kills 7 people"
"Walhi Desak Izin Tambang Batu Bara di Bone Dicabut, Dituding Rusak Akses Jalan","walhi urges to revoke coal mining permit in bone, alleging damage to road access"
"MAKI Akan Temui Mahfud, Bahas RUU Perampasan Aset-Dugaan Korupsi Batu Bara","maki will meet with mahfud, discuss asset confiscation bill - alleged coal corruption"
"Tambang Ilegal Merapi Dirazia, Bupati Klaten Minta Polisi Tak Tebang Pilih","illegal merapi mine raided, klaten regent asks police not to be selective"
"3 Orang Jadi Tersangka Tambang Ilegal di Klaten, Ngotot Punya Izin","3 people become suspects of illegal mining in klaten, insist on having a permit"
"Penambangan Ilegal di Lereng Merapi Dirazia, Harga Pasir Melambung","illegal mining on merapi slopes raided, sand prices soar"
3 Alat Berat Disita dari Tambang Ilegal Gunung Merapi di Klaten,3 heavy equipment confiscated from illegal mount merapi mine in klaten
"Polda Kalteng Ungkap Peredaran Sianida 1,35 Ton, 1 Pelaku Ditangkap","central kalimantan police reveal distribution of 1.35 tons of cyanide, 1 perpetrator arrested"
"Kisah Ikan Kaca dari Papua, Habitat Terancam Tambang Emas Ilegal","the story of glass fish from papua, habitat threatened by illegal gold mining"
"Penambang Ilegal Ditangkap di Babel, Polisi Sita 1 Ton Pasir Timah","illegal miners arrested in babel, police confiscate 1 ton of tin sand"
"Polisi Ungkap 9 Kasus Tambang Ilegal di Kalteng, Sita 1,3 Kg Emas","police reveal 9 cases of illegal mining in central kalimantan, confiscate 1.3 kg of gold"
"Viral Pengambilan Pasir Besi di Sukabumi, Begini Faktanya","viral iron sand extraction in sukabumi, here are the facts"
Pengacara BLJ Apresiasi Langkah Polri Berantas Mafia Tambang Minahasa,blj lawyer appreciates the national police's steps to eradicate the minahasa mining mafia
Jaksa Agung Minta Penanganan Kasus Tambang Ilegal Beri Efek Jera,attorney general asks for handling of illegal mining cases to have a deterrent effect
Brasil Jelang Duel antara Lula da Silva Melawan Jair Bolsonaro,brazil ahead of the duel between lula da silva and jair bolsonaro
"Keciduk Patroli, Puluhan Tambang Timah Ilegal di Laut Belinyu Disetop!","patrolled, dozens of illegal tin mines in the belinyu sea stopped!"
Pengurukan Proyek Tol Jogja-Solo Terhenti Imbas Tambang Bikin 'Mletre' Disegel,backfilling for jogja-solo toll road project stopped due to mining causes 'mletre' to be sealed
"Berulah Lagi, KKB Bantai Penambang Emas di Pegunungan Bintang Papua","acting again, kkb slaughters gold miners in the bintang mountains of papua"
Sadis! KKB Datangi Lalu Bunuh Penambang Emas di Pegunungan Bintang Papua,sadistic! kkb comes and kills gold miners in the bintang mountains of papua
"Tambang Disegel, Pengiriman Seribuan Rit Tanah Uruk Tol Jogja-Solo Tertunda","mine sealed, delivery of thousands of rites of uruk land on jogja-solo toll road delayed"
"Waduh, Masih Ada 2.700 Tambang Ilegal di RI, Terbanyak di Sumsel","wow, there are still 2,700 illegal mines in indonesia, the most in south sumatra"
Mantan Petinggi Intelijen Nilai Izin Tambang Emas di Sangihe Tidak Sah,former high intelligence officer values ​​gold mining permit in sangihe is invalid
Polisi Bantah Cekcok dengan TNI Saat Tangkap Penambang Ilegal,police deny bickering with tni when arresting illegal miners
Polisi Dihadang Warga saat Hendak Tangkap Pelaku Penambang Ilegal,police were intercepted by residents when they wanted to arrest illegal miners
"Jurnalis Inggris Ditembak Mati di Amazon, Mengapa Dibunuh?","british journalist shot dead in amazon, why killed?"
Polisi Brasil Sebut Jurnalis-Pakar Adat yang Hilang di Amazon Tewas Ditembak,brazilian police say journalist-indigenous expert who disappeared in the amazon was shot dead
KLHK Sulawesi Tangkap Pemilik Tambang Emas Ilegal di Parigi Mautong,klhk sulawesi arrests owner of illegal gold mine in parigi moutong
Tambang Ilegal di Madina Diminta Setop Atau Berurusan dengan Hukum,illegal mining in madina asked to stop or deal with the law
"Jurnalis Inggris Hilang di Amazon, Brasil Didesak Intensifkan Pencarian","british journalist missing in amazon, brazil urged to intensify search"
"Konjuk Ngarsadalem Sultan, Ulah Penambang Liar Sungai Progo Dikeluhkan","konjuk ngarsa dalem sultan, progo river illegal miners complained"
DPRD Jambi Ingatkan Pj Bupati Sarolangun soal Tambang Emas Ilegal,jambi dprd reminds acting regent of sarolangun about illegal gold mining
Ada Loh! Perusahaan Tambang 24 Tahun Nyari Emas Mulu Belum Nemu-nemu,there are! mining company searching for mulu gold for 24 years hasn't found it
Tambang Emas Ilegal di Lombok Tengah Ditutup Paksa,illegal gold mine in central lombok forced to close
Aliran Dana Oknum Polisi Bos Tambang Emas Ilegal Jadi Tanda Tanya Kompolnas,the flow of police funds from illegal gold mining bosses becomes a question mark for kompolnas
Kompolnas Minta PPATK Cek Aliran Dana Oknum Polisi Bos Tambang Emas Ilegal,"kompolnas asks ppatk to check fund flow of police officers, bosses of illegal gold mining"
Tersangka Kasus Tambang yang Menyebabkan 12 Orang Tewas Ditangkap,suspect in mining case that caused 12 people to die arrested
Ingin Punya Bitcoin Secara Gratis? Pahami Sistem Mining!,want to have bitcoin for free? understand the mining system!
Jangan Panik! Ini Penyebab Volatilitas Pergerakan Harga Bitcoin,do not panic! this is the cause of volatility in bitcoin price movements
Cerita Keberanian Kombes Hendy Kurniawan Berantas Mafia Tambang Ilegal di Kaltara,the story of commissioner hendy kurniawan's courage in eradicating the illegal mining mafia in north kalimantan
"Punya Tambang Emas Liar, Berapa Gaji Briptu Hasbudi Si Polisi Tajir?","have wild gold mines, how much salary is briptu hasbudi the rich politician?"
2 Orang Jadi Tersangka Kasus Tambang Longsor Bikin 12 Orang Tewas,2 people become suspects in mine landslide case that killed 12 people
Oknum Polisi Nyambi Jadi Bos Tambang Emas Ilegal di Kaltara Diciduk,nyambi police officer becomes boss of illegal gold mining in north kalimantan arrested
